,TimeStamp,D1_Commanded_Torque,D1_DC_Bus_Voltage,D2_Motor_Speed,IVT_Result_I,Wheel_Speed,Power,Incremental_Energy,Total_Energy,adjusted_time_ms,time_on_video
15269,1718634667863.093,32.931,504.04,1229.26,8.78647,9.46731196004085,4428.7323387999995,39.858591049199994,209568.14252839267,31764291.925965346,529:24.29
15270,1718634667872.0928,34.9,504.314,1243.95,9.18974,9.580448979624178,4634.51453836,41.71063084524,209609.85315923791,31764300.79474898,529:24.30
15271,1718634667881.0923,35.8621,503.305,1259.56,9.86292,9.700671503497269,4964.0569506,44.676512555399995,209654.5296717933,31764309.66353261,529:24.31
15272,1718634667890.0923,38.1123,501.954,1267.77,10.5347,9.763901927648332,5287.934803800001,47.591413234200004,209702.1210850275,31764318.532316245,529:24.32
15273,1718634667899.092,38.9,501.846,1263.75,11.2047,9.732941354556095,5623.0338762,50.6073048858,209752.7283899133,31764327.401099876,529:24.33
15274,1718634667908.0916,39.4153,501.698,1247.65,11.696399999999999,9.608945029485193,5868.060487199999,52.81254438479999,209805.5409342981,31764336.269883506,529:24.34
15275,1718634667917.0913,40.4,500.793,1226.05,11.599200000000002,9.442589711377646,5808.798165600001,52.27918349040001,209857.8201177885,31764345.13866714,529:24.35
15276,1718634667926.091,41.293,501.495,1211.61,11.503,9.331378100568712,5768.6969850000005,51.918272865,209909.7383906535,31764354.00745077,529:24.35
15277,1718634667935.0908,43.0,502.405,1209.32,11.506200000000002,9.313741356195273,5780.772411000001,52.026951699,209961.7653423525,31764362.876234405,529:24.36
15278,1718634667944.0903,42.6566,501.216,1221.88,11.5093,9.410473893020772,5768.6453088,51.9178077792,210013.6831501317,31764371.745018035,529:24.37
15279,1718634667953.0903,41.6566,501.484,1243.57,11.6639,9.5775223582871,5849.2592276,52.643333048399995,210066.3264831801,31764380.61380167,529:24.38
15280,1718634667962.09,41.0,500.961,1267.11,11.859200000000001,9.758818848483935,5940.996691200001,53.4689702208,210119.7954534009,31764389.4825853,529:24.39
15281,1718634667971.0898,40.5194,500.5,1286.32,12.0834,9.906767258708285,6047.7417,54.42967529999999,210174.2251287009,31764398.35136893,529:24.40
15282,1718634667980.0896,39.6,500.384,1293.3,12.329799999999999,9.960524671689335,6169.634643199999,55.526711788799986,210229.7518404897,31764407.220152564,529:24.41
15283,1718634667989.089,39.6,500.163,1288.91,12.4549,9.926714493610998,6229.4801487,56.0653213383,210285.81716182802,31764416.088936195,529:24.42
15284,1718634667998.089,39.6,500.538,1278.98,12.178700000000001,9.850237257092111,6095.9021406,54.863119265399995,210340.68028109343,31764424.95771983,529:24.42
15285,1718634668007.0889,39.8746,500.046,1264.82,11.9156,9.741182104110496,5958.3481176,53.62513305839999,210394.30541415184,31764433.82650346,529:24.43
15286,1718634668016.0886,40.4,500.803,1247.29,11.746799999999999,9.606172440850067,5882.832680399999,52.945494123599985,210447.25090827543,31764442.69528709,529:24.44
15287,1718634668025.0884,40.5373,502.754,1233.38,11.578100000000001,9.499042696642848,5820.9360874,52.3884247866,210499.63933306202,31764451.564070724,529:24.45
